doc_id,rank,term,score
1,1,ca,34.6845
1,2,ayala,34.6845
1,3,ruíz,34.6845
1,4,poma,34.6845
1,5,relato,30.1477
2,1,diario,66.4786
2,2,5000,52.0267
2,3,entorno,51.3531
2,4,836,49.1363
2,5,regular,47.428
3,1,venta,86.7112
3,2,52,83.8208
3,3,138015,80.9304
3,4,personal,75.3692
3,5,cama,75.1497
4,1,asociación,56.2823
4,2,correlación,46.4304
4,3,proteger,46.2459
4,4,capacitación,43.3556
4,5,sitio,43.1366
5,1,muñoz,34.6845
5,2,1080,31.7941
5,3,amazon,31.7941
5,4,poseer,25.1231
5,5,ecuador,23.123
6,1,satisfaction,37.5748
6,2,management,37.5748
6,3,hallazgo,34.6845
6,4,significativamente,31.7941
6,5,hernández,31.5181
7,1,unt,37.5748
7,2,tella,37.5748
7,3,vivo,30.1477
7,4,arquitectura,30.1477
7,5,machupirca,28.9037
8,1,digital,75.3692
8,2,estrategias,70.3446
8,3,precio,60.7849
8,4,plaza,60.6978
8,5,259,52.0267
9,1,106,83.8208
9,2,válido,63.5882
9,3,folclore,62.8076
9,4,participante,55.2707
9,5,identidad,53.0299
10,1,tau_b,34.6845
10,2,bilateral,29.2668
10,3,municipalidad,28.4568
10,4,política,28.2826
10,5,coeficiente,26.5597
11,1,fiabilidad,86.7112
11,2,001,66.4786
11,3,capacidad,57.5155
11,4,bilateral,56.2823
11,5,seguridad,55.4613
12,1,artesano,72.2593
12,2,artesanir,57.8074
12,3,legado,57.8074
12,4,grande,55.2707
12,5,tradición,54.031
13,1,gerente,72.2593
13,2,competitivo,65.3199
13,3,desacuerdo,63.5882
13,4,tecnología,62.8076
13,5,influir,51.7797
14,1,pueblo,49.1363
14,2,chachas,49.1363
14,3,evidencia,46.2459
14,4,obra,46.2459
14,5,1997,43.3556
15,1,ilustración,20.2326
15,2,hurtado,20.2326
15,3,sustentable,20.2326
15,4,llanos,20.2326
15,5,http,18.0103
16,1,elaboración,42.7092
16,2,interpretación,32.866
16,3,sol,31.5181
16,4,fuente,31.5063
16,5,paquete,27.6354
17,1,ej,86.7112
17,2,propuesta,72.8569
17,3,paisajes,72.2593
17,4,urco,63.5882
17,5,diseñar,57.8074
18,1,content,40.4652
18,2,generado,37.5748
18,3,data,37.5748
18,4,distinto,35.1723
18,5,excelente,34.6845
19,1,143,43.3556
19,2,2631,43.3556
19,3,2883,43.3556
19,4,agosto,43.3556
19,5,ñeque,40.4652
20,1,civil,78.04
20,2,facilitación,78.04
20,3,orientado,69.3689
20,4,vinculado,66.4786
20,5,comparación,66.4786
21,1,productivo,98.2726
21,2,portal,89.6015
21,3,sub,86.7112
21,4,inei,85.4184
21,5,incrementar,83.8208
22,1,caballo,49.1363
22,2,camino,42.7092
22,3,ecoturismo,37.5748
22,4,paseo,37.5748
22,5,sholón,37.5748
23,1,particularidades,130.0667
23,2,estacionalidad,124.286
23,3,minuto,124.286
23,4,altitud,124.286
23,5,caracterizar,112.7245
24,1,archaeological,95.3823
24,2,on,83.8208
24,3,by,80.9304
24,4,complex,78.04
24,5,visitor,69.3689
25,1,digital,52.7584
25,2,malo,50.2461
25,3,marketing,49.1363
25,4,comercial,43.3556
25,5,promoción,41.0825
26,1,misa,75.1497
26,2,ligado,72.8569
26,3,iglesia,72.8569
26,4,casa,65.2875
26,5,culto,63.5882
27,1,comunal,69.79
27,2,flujo,67.5388
27,3,sostenibilidad,61.6237
27,4,poblador,54.7975
27,5,asociación,54.031
28,1,spearman,15.177
28,2,in,13.5536
28,3,that,12.5615
28,4,was,12.3247
28,5,relación,11.6696
29,1,0169,43.3556
29,2,2665,43.3556
29,3,marzo,43.3556
29,4,humanas,43.3556
29,5,prohominum,43.3556
30,1,evolución,92.4919
30,2,mil,89.6015
30,3,universitario,83.8208
30,4,mensual,80.9304
30,5,regresión,72.2593
31,1,bienestar,50.2461
31,2,pagar,47.7338
31,3,mcv,47.7338
31,4,parque,42.7092
31,5,poisson,42.7092
32,1,bienestar,50.2461
32,2,pagar,47.7338
32,3,mcv,47.7338
32,4,parque,42.7092
32,5,poisson,42.7092
33,1,convencional,158.9704
33,2,usuario,150.7383
33,3,adobe,150.2993
33,4,eje,147.409
33,5,inmediato,138.7378
34,1,pregunta,45.0258
34,2,ayudar,43.3556
34,3,gonzález,40.1969
34,4,conciencia,40.1969
34,5,compromiso,37.5748
