n_docs,algorithm,fit_time_s,transform_time_s,query_time_s,matrix_memory_kb,sparsity
5,tfidf,0.0609,0.0413,0.0019,290.08,0.708591
5,textrank,1.2189,1.2504,0.0024,308.95,0.718093
5,bbidf,0.1745,0.0447,0.0016,290.08,0.708591
10,tfidf,0.0845,0.0428,0.0038,731.56,0.811918
10,textrank,1.7395,1.2975,0.0037,788.59,0.821805
10,bbidf,0.2551,0.04,0.002,731.56,0.811918
20,tfidf,0.1935,0.049,0.0049,2387.34,0.878523
20,textrank,3.7932,1.1733,0.0054,2643.91,0.887338
20,bbidf,0.4565,0.0398,0.0043,2387.34,0.878523
34,tfidf,0.3292,0.0416,0.0077,5665.78,0.909172
34,textrank,7.161,1.1468,0.0124,6543.94,0.91808
34,bbidf,0.889,0.043,0.0098,5665.78,0.909172
