doc_id,rank,term,score
1,1,purum,0.2529
1,2,quechua,0.1586
1,3,chachapoyas,0.1543
1,4,grafía,0.1478
1,5,identidad,0.1401
2,1,turístico,0.3616
2,2,yumbilla,0.325
2,3,capacidad,0.3226
2,4,catarata,0.2823
2,5,visitante,0.2666
3,1,año,0.2357
3,2,turismo,0.2223
3,3,servicio,0.2175
3,4,chachapoyas,0.2062
3,5,tabla,0.1995
4,1,turístico,0.5777
4,2,recurso,0.3845
4,3,conservación,0.2405
4,4,sholón,0.2339
4,5,cultura,0.2304
5,1,turismo,0.4496
5,2,turístico,0.2655
5,3,the,0.2636
5,4,tourism,0.2027
5,5,región,0.2019
6,1,turismo,0.3536
6,2,gestión,0.3009
6,3,satisfacción,0.2951
6,4,turista,0.2722
6,5,público,0.2337
7,1,magdalena,0.3463
7,2,turístico,0.303
7,3,distrito,0.2659
7,4,recurso,0.2459
7,5,desarrollo,0.2022
8,1,turístico,0.4802
8,2,levanto,0.2872
8,3,marketing,0.2784
8,4,desarrollo,0.2247
8,5,estrategia,0.1812
9,1,turístico,0.42
9,2,chachapoyas,0.3109
9,3,festividad,0.281
9,4,actividad,0.2668
9,5,folclórico,0.2306
10,1,turístico,0.405
10,2,desarrollo,0.3747
10,3,municipal,0.3432
10,4,gestión,0.3362
10,5,turismo,0.1568
11,1,servicio,0.3934
11,2,turista,0.3881
11,3,satisfacción,0.3372
11,4,guía,0.291
11,5,calidad,0.2384
12,1,cultural,0.5101
12,2,textil,0.3705
12,3,identidad,0.3025
12,4,artesanía,0.2204
12,5,asociación,0.2132
13,1,chachapoyas,0.4808
13,2,empresa,0.3167
13,3,innovación,0.2638
13,4,figura,0.2487
13,5,turismo,0.2027
14,1,chachapoyas,0.4871
14,2,the,0.2459
14,3,and,0.1552
14,4,región,0.1525
14,5,historia,0.1328
15,1,turismo,0.3668
15,2,turístico,0.3351
15,3,the,0.2947
15,4,provincia,0.2028
15,5,desarrollo,0.2005
16,1,turista,0.4477
16,2,turístico,0.316
16,3,chachapoyas,0.2783
16,4,turismo,0.2655
16,5,servicio,0.2162
17,1,cultural,0.5704
17,2,paisaje,0.3532
17,3,turístico,0.304
17,4,desarrollo,0.2145
17,5,chachapoyas,0.1718
18,1,destino,0.2652
18,2,turístico,0.237
18,3,turista,0.1955
18,4,comentario,0.1952
18,5,the,0.1822
19,1,turismo,0.4042
19,2,distrito,0.2884
19,3,colcamar,0.2808
19,4,turístico,0.2191
19,5,desarrollo,0.1768
20,1,turístico,0.4727
20,2,turismo,0.2732
20,3,pilar,0.1826
20,4,servicio,0.1669
20,5,público,0.1451
21,1,chachapoyas,0.4428
21,2,provincia,0.3769
21,3,perú,0.1601
21,4,tabla,0.1575
21,5,año,0.1558
22,1,colcamar,0.4262
22,2,turístico,0.3974
22,3,perú,0.2334
22,4,turismo,0.2055
22,5,amazonas,0.1877
23,1,recurso,0.488
23,2,turístico,0.481
23,3,chuquibamba,0.2289
23,4,distrito,0.1822
23,5,turismo,0.1693
24,1,the,0.7292
24,2,and,0.3987
24,3,tourism,0.2262
24,4,that,0.1628
24,5,satisfaction,0.1595
25,1,social,0.3801
25,2,red,0.3504
25,3,venta,0.29
25,4,turístico,0.2713
25,5,operador,0.2002
26,1,turismo,0.3883
26,2,chachapoyas,0.2892
26,3,funerario,0.2558
26,4,actividad,0.2495
26,5,ciudad,0.2482
27,1,turismo,0.4086
27,2,turístico,0.3447
27,3,comunitario,0.2617
27,4,comunidad,0.2253
27,5,desarrollo,0.2065
28,1,chachapoyas,0.3026
28,2,the,0.2808
28,3,kuelap,0.274
28,4,provincia,0.2553
28,5,rural,0.2321
29,1,desarrollo,0.336
29,2,sostenible,0.3236
29,3,turismo,0.2597
29,4,comunidad,0.2079
29,5,amazonía,0.1961
30,1,turismo,0.3375
30,2,hogar,0.3006
30,3,turístico,0.2332
30,4,variable,0.2287
30,5,porcentaje,0.2184
31,1,económico,0.2551
31,2,valor,0.2505
31,3,valoración,0.2109
31,4,visita,0.1968
31,5,costo,0.1916
32,1,económico,0.2551
32,2,valor,0.2505
32,3,valoración,0.2109
32,4,visita,0.1968
32,5,costo,0.1916
33,1,diseño,0.3159
33,2,proyecto,0.2969
33,3,ecolodge,0.2462
33,4,natural,0.2225
33,5,tabla,0.2172
34,1,turístico,0.4721
34,2,turismo,0.383
34,3,población,0.2105
34,4,desarrollo,0.2049
34,5,cultura,0.1846
