doc_id,rank,term,score
1,1,purum,0.4711
1,2,grafía,0.2409
1,3,quechua,0.2098
1,4,simbolización,0.1548
1,5,chacha,0.13
2,1,yumbilla,0.4878
2,2,carga,0.4521
2,3,catarata,0.3144
2,4,capacidad,0.2442
2,5,turístico,0.2218
3,1,año,0.2675
3,2,costo,0.2156
3,3,caja,0.203
3,4,tabla,0.1903
3,5,financiero,0.1646
4,1,sholón,0.5484
4,2,turístico,0.4342
4,3,recurso,0.3185
4,4,colcamar,0.2386
4,5,conservación,0.2262
5,1,turismo,0.2695
5,2,doi,0.2174
5,3,org,0.2089
5,4,negonotas,0.1933
5,5,docentes,0.173
6,1,satisfacción,0.3507
6,2,turismo,0.2856
6,3,gestión,0.2762
6,4,kuelap,0.2487
6,5,público,0.2313
7,1,magdalena,0.5917
7,2,shihual,0.338
7,3,distrito,0.1701
7,4,turístico,0.1634
7,5,recurso,0.1538
8,1,levanto,0.4566
8,2,turístico,0.3454
8,3,marketing,0.322
8,4,desacuerdo,0.2867
8,5,totalmente,0.1898
9,1,folclórico,0.5448
9,2,festividad,0.4472
9,3,turístico,0.2685
9,4,chachapoyas,0.2103
9,5,actividad,0.1869
10,1,municipal,0.3984
10,2,turístico,0.3065
10,3,desarrollo,0.2871
10,4,gestión,0.2631
10,5,correlación,0.1895
11,1,satisfacción,0.4029
11,2,servicio,0.3635
11,3,turista,0.3508
11,4,guía,0.3299
11,5,calidad,0.2318
12,1,textil,0.5806
12,2,cultural,0.3198
12,3,identidad,0.285
12,4,jalca,0.2657
12,5,artesanía,0.2306
13,1,innovación,0.3942
13,2,empresa,0.355
13,3,myp,0.2731
13,4,figura,0.2487
13,5,chachapoyas,0.2266
14,1,chachapoyas,0.2691
14,2,1029,0.1846
14,3,garcilaso,0.1827
14,4,church,0.1827
14,5,schjellerup,0.1426
15,1,espíritu,0.2896
15,2,n3,0.1875
15,3,eetes,0.1765
15,4,catálogo,0.1765
15,5,latindex,0.1765
16,1,turista,0.3945
16,2,gráfico,0.2962
16,3,turístico,0.2365
16,4,chachapoyas,0.2343
16,5,turismo,0.2044
17,1,cultural,0.4911
17,2,paisaje,0.4217
17,3,turístico,0.2664
17,4,desarrollo,0.1941
17,5,chachapoyas,0.1467
18,1,comentario,0.3413
18,2,tripadvisor,0.2948
18,3,destino,0.2155
18,4,usuario,0.1871
18,5,keyword,0.1734
19,1,colcamar,0.4004
19,2,preocupado,0.3137
19,3,afectado,0.2199
19,4,turismo,0.2196
19,5,acortar,0.208
20,1,turístico,0.3294
20,2,pilar,0.2561
20,3,pub,0.2186
20,4,soc,0.2036
20,5,turismo,0.1884
21,1,chachapoyas,0.3078
21,2,provincia,0.2785
21,3,ocp,0.1941
21,4,gerencia,0.1758
21,5,vial,0.1466
22,1,colcamar,0.6675
22,2,turístico,0.2374
22,3,arqueológico,0.1405
22,4,perú,0.1337
22,5,amazonas,0.1186
23,1,recurso,0.3977
23,2,chuquibamba,0.3559
23,3,turístico,0.3293
23,4,jerarquización,0.2601
23,5,cochabamba,0.1822
24,1,the,0.551
24,2,satisfaction,0.3316
24,3,and,0.2795
24,4,management,0.2617
24,5,public,0.2115
25,1,venta,0.431
25,2,red,0.4022
25,3,social,0.276
25,4,operador,0.2689
25,5,turístico,0.196
26,1,funerario,0.4016
26,2,turismo,0.2656
26,3,folclore,0.2515
26,4,ciudad,0.2198
26,5,cementerio,0.2187
27,1,turismo,0.3279
27,2,comunitario,0.3126
27,3,bartolo,0.3079
27,4,turístico,0.2636
27,5,comunidad,0.1903
28,1,kuelap,0.4613
28,2,chachapoyas,0.2875
28,3,provincia,0.2736
28,4,rural,0.2727
28,5,comunitario,0.2659
29,1,sostenible,0.2734
29,2,amazonía,0.2699
29,3,desarrollo,0.241
29,4,prohominum,0.1858
29,5,turismo,0.1764
30,1,hogar,0.5966
30,2,porcentaje,0.2207
30,3,jefe,0.201
30,4,turismo,0.1894
30,5,variable,0.1651
31,1,cak,0.2713
31,2,costo,0.2529
31,3,valoración,0.2465
31,4,excedente,0.2325
31,5,económico,0.1832
32,1,cak,0.2713
32,2,costo,0.2529
32,3,valoración,0.2465
32,4,excedente,0.2325
32,5,económico,0.1832
33,1,ecolodge,0.5408
33,2,vernácular,0.3546
33,3,arquitectura,0.232
33,4,vivencial,0.2263
33,5,diseño,0.1876
34,1,turístico,0.4158
34,2,turismo,0.3137
34,3,cultura,0.1852
34,4,desarrollo,0.1827
34,5,población,0.1777
