doc_id,file,algorithm,keywords
0,2011.pdf,tfidf,"purum, grafía, quechua, simbolización, puya, arqueología, laguna, identidad, aymara, hombre"
0,2011.pdf,bbidf,"purum, grafía, quechua, hombre, simbolización, chachapoyas, identidad, arqueología, sociedad, laguna"
0,2011.pdf,textrank,"purum, chachapoyas, quechua, grafía, identidad, hombre, caso, sitio, lima, laguna"
1,Chachapoyas Resort. una experiencia espléndida.pdf,tfidf,"año, costo, caja, tabla, financiero, servicio, precio, depreciación, fuente, turismo"
1,Chachapoyas Resort. una experiencia espléndida.pdf,bbidf,"año, costo, chachapoyas, turismo, elaboración, financiero, caja, hospedaje, tabla, fuente"
1,Chachapoyas Resort. una experiencia espléndida.pdf,textrank,"turismo, servicio, año, chachapoyas, tabla, turista, fuente, costo, perú, proyecto"
2,Cultura turisticay conservación de recurso turistico.pdf,tfidf,"sholón, turístico, recurso, colcamar, conservación, cultura, nivel, poblador, correlación, distrito"
2,Cultura turisticay conservación de recurso turistico.pdf,bbidf,"turístico, sholón, recurso, conservación, colcamar, cultura, nivel, turismo, distrito, poblador"
2,Cultura turisticay conservación de recurso turistico.pdf,textrank,"turístico, recurso, conservación, sholón, cultura, nivel, colcamar, turismo, cultural, distrito"
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,tfidf,"turismo, negonotas, amazónico, docentes, turístico, región, tourism, actividad, revista, muñoz"
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,bbidf,"turismo, turístico, amazónico, revista, región, docentes, negonotas, muñoz, tourism, actividad"
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,textrank,"turismo, turístico, tourism, región, actividad, revista, desarrollo, amazónico, turista, estudio"
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,tfidf,"ecolodge, vernácular, arquitectura, vivencial, diseño, tabla, proyecto, caso, chachapoyas, criterio"
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,bbidf,"ecolodge, vivencial, vernácular, diseño, arquitectura, proyecto, chachapoyas, criterio, tabla, caso"
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,textrank,"diseño, proyecto, ecolodge, natural, chachapoyas, tabla, caso, arquitectura, análisis, zona"
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,tfidf,"satisfacción, turismo, gestión, kuelap, turista, público, arqueológico, complejo, pseudo, turístico"
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,bbidf,"turismo, satisfacción, kuelap, gestión, turista, turístico, público, complejo, arqueológico, visitante"
