documento,algoritmo,rank,keyword,score,score_raw,in_gold
doc1,tfidf,1,purum,0.488113,268.324934,true
doc1,tfidf,2,grafía,0.249418,137.109929,false
doc1,tfidf,3,quechua,0.236947,130.254433,false
doc1,tfidf,4,simbolización,0.16038,88.163907,false
doc1,tfidf,5,puya,0.125515,68.99784,false
doc1,bbidf,1,purum,0.383319,316.845237,true
doc1,bbidf,2,grafía,0.21904,181.054421,false
doc1,bbidf,3,quechua,0.208088,172.0017,false
doc1,bbidf,4,hombre,0.148397,122.662827,false
doc1,bbidf,5,simbolización,0.125948,104.106292,false
doc1,textrank,1,purum,0.260024,18.916137,true
doc1,textrank,2,chachapoyas,0.162637,11.831502,false
doc1,textrank,3,quechua,0.162289,11.806188,false
doc1,textrank,4,grafía,0.152181,11.070823,false
doc1,textrank,5,identidad,0.146086,10.627419,true
doc2,tfidf,1,año,0.271782,135.940591,false
doc2,tfidf,2,costo,0.224478,112.279963,false
doc2,tfidf,3,caja,0.219724,109.902316,false
doc2,tfidf,4,tabla,0.194352,97.211369,false
doc2,tfidf,5,financiero,0.17142,85.741063,false
doc2,bbidf,1,año,0.236267,215.950517,false
doc2,bbidf,2,costo,0.230661,210.826734,false
doc2,bbidf,3,chachapoyas,0.204246,186.683047,false
doc2,bbidf,4,turismo,0.200455,183.218271,true
doc2,bbidf,5,elaboración,0.184529,168.661387,false
doc2,textrank,1,turismo,0.233391,17.153335,true
doc2,textrank,2,servicio,0.231101,16.985031,false
doc2,textrank,3,año,0.229748,16.885586,false
doc2,textrank,4,chachapoyas,0.218573,16.064244,false
doc2,textrank,5,tabla,0.208651,15.33503,false
doc3,tfidf,1,sholón,0.547549,332.847013,false
doc3,tfidf,2,turístico,0.437583,266.0,true
doc3,tfidf,3,recurso,0.322065,195.778387,true
doc3,tfidf,4,colcamar,0.251919,153.137659,false
doc3,tfidf,5,conservación,0.229499,139.509039,true
doc3,bbidf,1,turístico,0.699808,911.781031,true
doc3,bbidf,2,sholón,0.311858,406.320614,false
doc3,bbidf,3,recurso,0.311052,405.269655,true
doc3,bbidf,4,conservación,0.217859,283.849541,true
doc3,bbidf,5,colcamar,0.194547,253.476189,false
doc3,textrank,1,turístico,0.577967,48.682221,true
doc3,textrank,2,recurso,0.389816,32.834293,true
doc3,textrank,3,conservación,0.242641,20.43768,true
doc3,textrank,4,sholón,0.237444,19.999938,false
doc3,textrank,5,cultura,0.230803,19.440545,true
doc4,tfidf,1,turismo,0.325748,68.0,true
doc4,tfidf,2,negonotas,0.238715,49.831773,false
doc4,tfidf,3,amazónico,0.222713,46.491461,false
doc4,tfidf,4,docentes,0.213464,44.560727,false
doc4,tfidf,5,turístico,0.201197,42.0,true
doc4,bbidf,1,turismo,0.455975,185.952872,true
doc4,bbidf,2,turístico,0.353018,143.965426,true
doc4,bbidf,3,amazónico,0.210883,86.00085,false
doc4,bbidf,4,revista,0.178815,72.923065,false
doc4,bbidf,5,región,0.152719,62.281005,false
doc4,textrank,1,turismo,0.474847,27.181387,true
doc4,textrank,2,turístico,0.285607,16.348857,true
doc4,textrank,3,tourism,0.221639,12.687147,false
doc4,textrank,4,región,0.216771,12.408488,false
doc4,textrank,5,actividad,0.195852,11.211017,true
doc5,tfidf,1,ecolodge,0.537079,1153.797217,true
doc5,tfidf,2,vernácular,0.354218,760.960108,true
doc5,tfidf,3,arquitectura,0.23921,513.889726,false
doc5,tfidf,4,vivencial,0.224906,483.161612,false
doc5,tfidf,5,diseño,0.19531,419.581419,false
doc5,bbidf,1,ecolodge,0.377495,1362.434518,true
doc5,bbidf,2,vivencial,0.284689,1027.483839,false
doc5,bbidf,3,vernácular,0.278418,1004.852036,true
doc5,bbidf,4,diseño,0.274282,989.925582,false
doc5,bbidf,5,arquitectura,0.248832,898.070038,false
doc5,textrank,1,diseño,0.318724,36.319308,false
doc5,textrank,2,proyecto,0.299036,34.075785,false
doc5,textrank,3,ecolodge,0.249054,28.380289,true
doc5,textrank,4,natural,0.226674,25.83002,false
doc5,textrank,5,chachapoyas,0.219916,25.059955,false
doc6,tfidf,1,satisfacción,0.370169,91.860357,true
doc6,tfidf,2,turismo,0.290138,72.0,true
doc6,tfidf,3,gestión,0.289581,71.862011,true
doc6,tfidf,4,kuelap,0.248611,61.69494,true
doc6,tfidf,5,turista,0.242106,60.080533,true
doc6,bbidf,1,turismo,0.376804,196.891276,true
doc6,bbidf,2,satisfacción,0.357268,186.683047,true
doc6,bbidf,3,kuelap,0.2861,149.49532,true
doc6,bbidf,4,gestión,0.276361,144.406429,true
doc6,bbidf,5,turista,0.234069,122.307649,true
doc6,textrank,1,turismo,0.360588,18.100755,true
doc6,textrank,2,gestión,0.306593,15.390328,true
doc6,textrank,3,satisfacción,0.298403,14.979239,true
doc6,textrank,4,turista,0.278693,13.98981,true
doc6,textrank,5,público,0.237865,11.940335,true
doc7,tfidf,1,turístico,0.430565,171.0,true
doc7,tfidf,2,turismo,0.317258,126.0,true
doc7,tfidf,3,cultura,0.18678,74.18014,true
doc7,tfidf,4,desarrollo,0.186703,74.149413,false
doc7,tfidf,5,población,0.184269,73.183099,false
doc7,bbidf,1,turístico,0.619647,586.144948,true
doc7,bbidf,2,turismo,0.364253,344.559733,true
doc7,bbidf,3,desarrollo,0.186248,176.178167,false
doc7,bbidf,4,chachapoyas,0.160349,151.679976,false
doc7,bbidf,5,actitud,0.157907,149.369897,true
doc7,textrank,1,turístico,0.48196,36.910187,true
doc7,textrank,2,turismo,0.388322,29.739073,true
doc7,textrank,3,población,0.213583,16.356912,false
doc7,textrank,4,desarrollo,0.209633,16.054416,false
doc7,textrank,5,cultura,0.188016,14.398906,true
doc8,tfidf,1,magdalena,0.596967,200.964234,false
doc8,tfidf,2,shihual,0.341598,114.9964,false
doc8,tfidf,3,distrito,0.1738,58.508483,false
doc8,tfidf,4,turístico,0.166349,56.0,true
doc8,tfidf,5,recurso,0.157089,52.882668,true
doc8,bbidf,1,magdalena,0.508133,289.687074,false
doc8,bbidf,2,turístico,0.336702,191.953901,true
doc8,bbidf,3,distrito,0.249428,142.199255,false
doc8,bbidf,4,shihual,0.238188,135.790816,false
doc8,bbidf,5,recurso,0.192018,109.46939,true
doc8,textrank,1,magdalena,0.357391,19.751114,false
doc8,textrank,2,turístico,0.309374,17.097468,true
doc8,textrank,3,distrito,0.270818,14.96671,false
doc8,textrank,4,recurso,0.251395,13.893285,true
doc8,textrank,5,desarrollo,0.206642,11.420049,false
doc9,tfidf,1,municipal,0.438387,101.242979,true
doc9,tfidf,2,turístico,0.337744,78.0,false
doc9,tfidf,3,desarrollo,0.316611,73.11956,false
doc9,tfidf,4,gestión,0.291091,67.225752,false
doc9,tfidf,5,correlación,0.205279,47.408121,false
doc9,bbidf,1,turístico,0.51834,267.364362,false
doc9,bbidf,2,municipal,0.475614,245.325654,true
doc9,bbidf,3,desarrollo,0.336814,173.731248,false
doc9,bbidf,4,gestión,0.261899,135.089885,false
doc9,bbidf,5,planificación,0.178355,91.99712,true
doc9,textrank,1,turístico,0.408414,20.666071,false
doc9,textrank,2,desarrollo,0.380523,19.25476,false
doc9,textrank,3,municipal,0.348762,17.647614,true
doc9,textrank,4,gestión,0.339057,17.156541,false
doc9,textrank,5,turismo,0.155753,7.881207,false
doc10,tfidf,1,innovación,0.41175,312.884392,true
doc10,tfidf,2,empresa,0.364548,277.016388,false
doc10,tfidf,3,myp,0.275162,209.092642,true
doc10,tfidf,4,figura,0.254237,193.192214,false
doc10,tfidf,5,chachapoyas,0.230395,175.075004,false
doc10,bbidf,1,empresa,0.423066,606.03277,false
doc10,bbidf,2,innovación,0.393362,563.482362,true
doc10,bbidf,3,chachapoyas,0.346167,495.876844,false
doc10,bbidf,4,myp,0.192748,276.107992,true
doc10,bbidf,5,figura,0.192214,275.342173,false
doc10,textrank,1,chachapoyas,0.477019,39.342719,false
doc10,textrank,2,empresa,0.330039,27.220384,false
doc10,textrank,3,innovación,0.276363,22.793407,true
doc10,textrank,4,figura,0.255125,21.041774,false
doc10,textrank,5,turismo,0.209079,17.244056,true
doc12,tfidf,1,turista,0.406436,135.454292,true
doc12,tfidf,2,gráfico,0.300147,100.03124,false
doc12,tfidf,3,turístico,0.243044,81.0,false
doc12,tfidf,4,chachapoyas,0.241029,80.328531,false
doc12,tfidf,5,turismo,0.210038,70.0,true
doc12,bbidf,1,turístico,0.381753,277.647607,false
doc12,bbidf,2,turista,0.379142,275.748154,true
doc12,bbidf,3,chachapoyas,0.31283,227.519964,false
doc12,bbidf,4,gráfico,0.304954,221.791666,false
doc12,bbidf,5,turismo,0.263197,191.422074,true
doc12,textrank,1,turista,0.458382,31.081551,true
doc12,textrank,2,turístico,0.323031,21.903775,false
doc12,textrank,3,chachapoyas,0.288568,19.566951,false
doc12,textrank,4,turismo,0.272945,18.5076,true
doc12,textrank,5,servicio,0.221537,15.021774,false
doc14,tfidf,1,recurso,0.403466,535.577656,true
doc14,tfidf,2,chuquibamba,0.351799,466.992841,false
doc14,tfidf,3,turístico,0.332972,442.0,true
doc14,tfidf,4,jerarquización,0.260805,346.202572,true
doc14,tfidf,5,cochabamba,0.182384,242.104577,false
doc14,bbidf,1,turístico,0.529551,1515.06472,true
doc14,bbidf,2,recurso,0.387506,1108.668711,true
doc14,bbidf,3,chuquibamba,0.332235,950.53571,false
doc14,bbidf,4,punto,0.215654,616.994682,false
doc14,bbidf,5,pueblo,0.202505,579.374147,false
doc14,textrank,1,recurso,0.486796,63.399228,true
doc14,textrank,2,turístico,0.484841,63.144503,true
doc14,textrank,3,chuquibamba,0.232645,30.299133,false
doc14,textrank,4,distrito,0.183046,23.839524,false
doc14,textrank,5,turismo,0.168983,22.00793,false
doc16,tfidf,1,colcamar,0.701341,300.806116,false
doc16,tfidf,2,turístico,0.240148,103.0,false
doc16,tfidf,3,arqueológico,0.143277,61.451781,true
doc16,tfidf,4,perú,0.134464,57.671766,false
doc16,tfidf,5,sitio,0.11828,50.730559,true
doc16,bbidf,1,colcamar,0.6221,497.899658,false
doc16,bbidf,2,turístico,0.441128,353.058068,false
doc16,bbidf,3,turismo,0.170837,136.730053,true
doc16,bbidf,4,perú,0.162968,130.431613,false
doc16,bbidf,5,distrito,0.150337,120.322446,false
doc16,textrank,1,colcamar,0.434141,28.44129,false
doc16,textrank,2,turístico,0.405728,26.579893,false
doc16,textrank,3,perú,0.232766,15.248905,false
doc16,textrank,4,turismo,0.210316,13.778173,true
doc16,textrank,5,amazonas,0.19226,12.595236,true
doc17,tfidf,1,satisfaction,0.440708,180.631526,true
doc17,tfidf,2,management,0.347239,142.321628,true
doc17,tfidf,3,tourism,0.268651,110.111146,true
doc17,tfidf,4,public,0.261402,107.140254,true
doc17,tfidf,5,complex,0.180142,73.834228,true
doc17,bbidf,1,satisfaction,0.394759,268.324934,true
doc17,bbidf,2,management,0.360923,245.325654,true
doc17,bbidf,3,tourism,0.263777,179.293804,true
doc17,bbidf,4,kuelap,0.259413,176.327814,true
doc17,bbidf,5,public,0.259413,176.327814,true
doc17,textrank,1,tourism,0.458247,25.287741,true
doc17,textrank,2,satisfaction,0.319098,17.60898,true
doc17,textrank,3,management,0.302925,16.716501,true
doc17,textrank,4,tourist,0.227655,12.562865,true
doc17,textrank,5,kuelap,0.225588,12.448775,true
doc18,tfidf,1,hogar,0.600915,457.57385,false
doc18,tfidf,2,porcentaje,0.219854,167.410846,false
doc18,tfidf,3,jefe,0.202447,154.155896,false
doc18,tfidf,4,turismo,0.191736,146.0,true
doc18,tfidf,5,variable,0.168959,128.656181,false
doc18,bbidf,1,hogar,0.559499,846.429418,false
doc18,bbidf,2,turístico,0.271894,411.329788,false
doc18,bbidf,3,turismo,0.26391,399.251754,true
doc18,bbidf,4,porcentaje,0.238603,360.967339,false
doc18,bbidf,5,jefe,0.188494,285.160713,false
doc18,textrank,1,turismo,0.335415,23.01602,true
doc18,textrank,2,hogar,0.304247,20.877236,false
doc18,textrank,3,turístico,0.23817,16.343124,false
doc18,textrank,4,variable,0.233755,16.04016,false
doc18,textrank,5,porcentaje,0.219305,15.048597,false
doc19,tfidf,1,kuelap,0.463307,64.858783,false
doc19,tfidf,2,chachapoyas,0.294263,41.194119,false
doc19,tfidf,3,rural,0.280848,39.316184,true
doc19,tfidf,4,provincia,0.280326,39.243111,false
doc19,tfidf,5,comunitario,0.266576,37.31827,true
doc19,bbidf,1,kuelap,0.512612,157.161747,false
doc19,bbidf,2,chachapoyas,0.380563,116.676904,false
doc19,bbidf,3,provincia,0.311415,95.476664,false
doc19,bbidf,4,desarrollo,0.271357,83.195245,true
doc19,bbidf,5,turismo,0.267582,82.038032,true
doc19,textrank,1,chachapoyas,0.32178,8.935483,false
doc19,textrank,2,kuelap,0.292048,8.109858,false
doc19,textrank,3,provincia,0.271608,7.54226,false
doc19,textrank,4,rural,0.249207,6.920207,true
doc19,textrank,5,desarrollo,0.242151,6.724285,true
doc20,tfidf,1,amazonía,0.296323,86.727242,false
doc20,tfidf,2,sostenible,0.292172,85.512399,true
doc20,tfidf,3,desarrollo,0.253348,74.149413,true
doc20,tfidf,4,prohominum,0.196455,57.4982,false
doc20,tfidf,5,turismo,0.184503,54.0,true
doc20,bbidf,1,sostenible,0.318816,177.014332,true
doc20,bbidf,2,amazonía,0.31794,176.52806,false
doc20,bbidf,3,desarrollo,0.31731,176.178167,true
doc20,bbidf,4,turismo,0.265962,147.668457,true
doc20,bbidf,5,infraestructura,0.171961,95.476664,true
doc20,textrank,1,desarrollo,0.342679,18.0039,true
doc20,textrank,2,sostenible,0.330338,17.355483,true
doc20,textrank,3,turismo,0.264898,13.917372,true
doc20,textrank,4,comunidad,0.212441,11.161361,true
doc20,textrank,5,amazonía,0.200898,10.554895,false
doc21,tfidf,1,cak,0.298606,160.99496,false
doc21,tfidf,2,costo,0.257475,138.818863,true
doc21,tfidf,3,excedente,0.255948,137.99568,true
doc21,tfidf,4,valoración,0.249566,134.554964,true
doc21,tfidf,5,económico,0.182347,98.313599,true
doc21,bbidf,1,costo,0.280371,260.658507,true
doc21,bbidf,2,valoración,0.272836,253.653369,true
doc21,bbidf,3,cak,0.204484,190.107142,false
doc21,bbidf,4,visita,0.202957,188.687473,false
doc21,bbidf,5,consumidor,0.194747,181.054421,true
doc21,textrank,1,económico,0.262182,18.742077,true
doc21,textrank,2,valor,0.254206,18.17191,false
doc21,textrank,3,valoración,0.21626,15.459375,true
doc21,textrank,4,visita,0.202167,14.451928,false
doc21,textrank,5,costo,0.196575,14.052187,true
doc22,tfidf,1,espíritu,0.35212,100.482117,false
doc22,tfidf,2,catálogo,0.214924,61.331414,false
doc22,tfidf,3,indexada,0.214924,61.331414,false
doc22,tfidf,4,latindex,0.214924,61.331414,false
doc22,tfidf,5,turismo,0.192737,55.0,true
doc22,bbidf,1,turístico,0.338399,174.81516,false
doc22,bbidf,2,turismo,0.291143,150.403058,true
doc22,bbidf,3,espíritu,0.280381,144.843537,false
doc22,bbidf,4,provincia,0.154848,79.993962,false
doc22,bbidf,5,utcubamba,0.152611,78.838209,false
doc22,textrank,1,turismo,0.387144,18.442941,true
doc22,textrank,2,turístico,0.356878,17.001119,false
doc22,textrank,3,provincia,0.216125,10.295841,false
doc22,textrank,4,desarrollo,0.212116,10.10487,false
doc22,textrank,5,utcubamba,0.165487,7.883519,false
doc23,tfidf,1,yumbilla,0.490296,345.78035,false
doc23,tfidf,2,carga,0.454962,320.861487,true
doc23,tfidf,3,catarata,0.314547,221.833859,false
doc23,tfidf,4,capacidad,0.249967,176.288694,true
doc23,tfidf,5,turístico,0.225452,159.0,false
doc23,bbidf,1,yumbilla,0.43482,606.53231,false
doc23,bbidf,2,catarata,0.395881,552.215984,false
doc23,bbidf,3,turístico,0.390716,545.01197,false
doc23,bbidf,4,carga,0.356942,497.899658,true
doc23,bbidf,5,capacidad,0.272499,380.109547,true
doc23,textrank,1,turístico,0.366084,30.345861,false
doc23,textrank,2,yumbilla,0.329693,27.329325,false
doc23,textrank,3,capacidad,0.327705,27.164525,true
doc23,textrank,4,catarata,0.285415,23.658955,false
doc23,textrank,5,visitante,0.267242,22.152527,false
doc24,tfidf,1,levanto,0.472708,315.776111,true
doc24,tfidf,2,turístico,0.362267,242.0,true
doc24,tfidf,3,marketing,0.332032,221.802281,true
doc24,tfidf,4,desacuerdo,0.296432,198.021026,false
doc24,tfidf,5,totalmente,0.195981,130.918343,false
doc24,bbidf,1,turístico,0.572276,829.515073,true
doc24,bbidf,2,levanto,0.335799,486.74025,true
doc24,bbidf,3,marketing,0.309786,449.035019,true
doc24,bbidf,4,desacuerdo,0.256517,371.821694,false
doc24,bbidf,5,totalmente,0.224835,325.897958,false
doc24,textrank,1,turístico,0.493946,38.961034,true
doc24,textrank,2,levanto,0.295203,23.284783,true
doc24,textrank,3,marketing,0.2877,22.692953,true
doc24,textrank,4,desarrollo,0.23138,18.250599,true
doc24,textrank,5,estrategia,0.186408,14.703314,false
doc25,tfidf,1,folclórico,0.54834,404.474292,true
doc25,tfidf,2,festividad,0.448376,330.737305,true
doc25,tfidf,3,turístico,0.272493,201.0,true
doc25,tfidf,4,chachapoyas,0.21082,155.507797,false
doc25,tfidf,5,actividad,0.189877,140.060003,true
doc25,bbidf,1,turístico,0.474497,688.977395,true
doc25,bbidf,2,festividad,0.442656,642.743194,true
doc25,bbidf,3,folclórico,0.367841,534.110542,true
doc25,bbidf,4,chachapoyas,0.303341,440.455314,false
doc25,bbidf,5,visitante,0.17526,254.479574,false
doc25,textrank,1,turístico,0.425504,35.202108,true
doc25,textrank,2,chachapoyas,0.312279,25.834932,false
doc25,textrank,3,festividad,0.282047,23.333798,true
doc25,textrank,4,actividad,0.268463,22.210006,true
doc25,textrank,5,folclórico,0.231687,19.167511,true
doc26,tfidf,1,satisfacción,0.413432,245.43939,true
doc26,tfidf,2,servicio,0.369851,219.567037,true
doc26,tfidf,3,turista,0.355131,210.828051,true
doc26,tfidf,4,guía,0.338482,200.94453,true
doc26,tfidf,5,calidad,0.234287,139.087763,true
doc26,bbidf,1,satisfacción,0.419301,498.793767,true
doc26,bbidf,2,guía,0.403406,479.884753,true
doc26,bbidf,3,turista,0.360789,429.188658,true
doc26,bbidf,4,servicio,0.344938,410.332229,true
doc26,bbidf,5,turismo,0.232178,276.194707,true
doc26,textrank,1,servicio,0.396175,32.972428,true
doc26,textrank,2,turista,0.391346,32.570532,true
doc26,textrank,3,satisfacción,0.339366,28.244439,true
doc26,textrank,4,guía,0.294199,24.485308,true
doc26,textrank,5,calidad,0.239884,19.964816,true
doc27,tfidf,1,textil,0.588875,418.423146,true
doc27,tfidf,2,cultural,0.328997,233.767891,true
doc27,tfidf,3,identidad,0.287198,204.067879,true
doc27,tfidf,4,jalca,0.269151,191.244687,false
doc27,tfidf,5,artesanía,0.230244,163.598877,false
doc27,bbidf,1,textil,0.586531,774.00765,true
doc27,bbidf,2,cultural,0.345165,455.491564,true
doc27,bbidf,3,artesanía,0.290475,383.321334,false
doc27,bbidf,4,identidad,0.267319,352.763536,true
doc27,bbidf,5,asociación,0.247467,326.566881,false
doc27,textrank,1,cultural,0.512415,42.010319,true
doc27,textrank,2,textil,0.373228,30.599077,true
doc27,textrank,3,identidad,0.303621,24.892297,true
doc27,textrank,4,artesanía,0.220803,18.10248,false
doc27,textrank,5,asociación,0.214416,17.578866,false
doc28,tfidf,1,cultural,0.505273,340.820476,true
doc28,tfidf,2,paisaje,0.439371,296.367617,false
doc28,tfidf,3,turístico,0.274266,185.0,true
doc28,tfidf,4,desarrollo,0.200008,134.910738,true
doc28,tfidf,5,chachapoyas,0.151151,101.955443,false
doc28,bbidf,1,cultural,0.467553,664.081159,true
doc28,bbidf,2,turístico,0.446468,634.133424,true
doc28,bbidf,3,paisaje,0.410738,583.384522,false
doc28,bbidf,4,desarrollo,0.225684,320.546387,true
doc28,bbidf,5,chachapoyas,0.203315,288.775339,false
doc28,textrank,1,cultural,0.5826,58.734388,true
doc28,textrank,2,paisaje,0.360523,36.345828,false
doc28,textrank,3,turístico,0.312316,31.485903,true
doc28,textrank,4,desarrollo,0.219695,22.148405,true
doc28,textrank,5,chachapoyas,0.176147,17.758103,false
doc29,tfidf,1,colcamar,0.477104,139.464654,false
doc29,tfidf,2,preocupado,0.354059,103.49676,false
doc29,tfidf,3,afectado,0.259496,75.854488,false
doc29,tfidf,4,turismo,0.249731,73.0,true
doc29,tfidf,5,distrito,0.215552,63.009136,false
doc29,bbidf,1,colcamar,0.428813,230.844387,false
doc29,bbidf,2,turismo,0.370822,199.625877,true
doc29,bbidf,3,distrito,0.284466,153.137659,false
doc29,bbidf,4,afectado,0.260651,140.317176,false
doc29,bbidf,5,turístico,0.254693,137.109929,false
doc29,textrank,1,turismo,0.418729,21.84649,true
doc29,textrank,2,distrito,0.299401,15.620764,false
doc29,textrank,3,colcamar,0.293153,15.294781,false
doc29,textrank,4,turístico,0.227913,11.89099,false
doc29,textrank,5,desarrollo,0.181912,9.49099,true
doc30,tfidf,1,turístico,0.36099,250.0,false
doc30,tfidf,2,pilar,0.286187,198.195825,true
doc30,tfidf,3,turismo,0.203598,141.0,true
doc30,tfidf,4,seguridad,0.162785,112.73524,false
doc30,tfidf,5,institucionalidad,0.153435,106.260195,false
doc30,bbidf,1,turístico,0.551562,856.937059,false
doc30,bbidf,2,pilar,0.317556,493.373297,true
doc30,bbidf,3,turismo,0.248175,385.578749,true
doc30,bbidf,4,público,0.119931,186.330876,true
doc30,bbidf,5,gestión,0.116932,181.672604,false
doc30,textrank,1,turístico,0.483839,46.098329,false
doc30,textrank,2,turismo,0.277216,26.412112,true
doc30,textrank,3,servicio,0.172273,16.413539,false
doc30,textrank,4,pilar,0.166633,15.876138,true
doc30,textrank,5,público,0.147156,14.020445,true
doc31,tfidf,1,venta,0.43553,205.716048,true
doc31,tfidf,2,red,0.405247,191.412507,false
doc31,tfidf,3,social,0.283445,133.880885,true
doc31,tfidf,4,operador,0.271707,128.336617,false
doc31,tfidf,5,turístico,0.201128,95.0,false
doc31,bbidf,1,venta,0.498332,493.373297,true
doc31,bbidf,2,red,0.356495,352.947636,false
doc31,bbidf,3,turístico,0.328909,325.636082,false
doc31,bbidf,4,social,0.279482,276.700483,true
doc31,bbidf,5,operador,0.263278,260.658507,false
doc31,textrank,1,social,0.386139,26.460198,true
doc31,textrank,2,red,0.355238,24.342706,false
doc31,textrank,3,venta,0.293181,20.090255,true
doc31,textrank,4,turístico,0.27566,18.889607,false
doc31,textrank,5,chachapoyas,0.204837,14.036451,false
doc32,tfidf,1,funerario,0.398454,378.866815,true
doc32,tfidf,2,turismo,0.267132,254.0,true
doc32,tfidf,3,folclore,0.249854,237.571867,true
doc32,tfidf,4,cementerio,0.234471,222.944698,false
doc32,tfidf,5,ciudad,0.222763,211.812521,false
doc32,bbidf,1,turismo,0.376975,694.588668,true
doc32,bbidf,2,funerario,0.370312,682.311975,true
doc32,bbidf,3,chachapoyas,0.281793,519.212225,false
doc32,bbidf,4,turístico,0.260448,479.884753,true
doc32,bbidf,5,ciudad,0.240433,443.005371,false
doc32,textrank,1,turismo,0.390435,45.12654,true
doc32,textrank,2,chachapoyas,0.295064,34.103553,false
doc32,textrank,3,funerario,0.259467,29.989288,true
doc32,textrank,4,actividad,0.252644,29.200681,false
doc32,textrank,5,ciudad,0.252344,29.16601,false
doc33,tfidf,1,turismo,0.331593,253.0,true
doc33,tfidf,2,bartolo,0.311487,237.659227,false
doc33,tfidf,3,comunitario,0.308515,235.392164,true
doc33,tfidf,4,turístico,0.268682,205.0,false
doc33,tfidf,5,comunidad,0.188986,144.193278,false
doc33,bbidf,1,turístico,0.435264,702.688388,false
doc33,bbidf,2,turismo,0.428553,691.854067,true
doc33,bbidf,3,comunitario,0.296319,478.375308,true
doc33,bbidf,4,desarrollo,0.203102,327.887144,true
doc33,bbidf,5,bartolo,0.173833,280.634353,false
doc33,textrank,1,turismo,0.409305,39.740453,true
doc33,textrank,2,turístico,0.349618,33.945266,false
doc33,textrank,3,comunitario,0.264078,25.639963,true
doc33,textrank,4,comunidad,0.229547,22.287271,false
doc33,textrank,5,desarrollo,0.208608,20.254222,true
