algoritmo,metric,value
tfidf,n_retrieved,2176.0
tfidf,n_gold,14.0
tfidf,P@5,0.2
tfidf,R@5,0.071429
tfidf,F1@5,0.105263
tfidf,nDCG@5,0.33916
tfidf,P@10,0.2
tfidf,R@10,0.142857
tfidf,F1@10,0.166667
tfidf,nDCG@10,0.289523
tfidf,P@20,0.2
tfidf,R@20,0.285714
tfidf,F1@20,0.235294
tfidf,nDCG@20,0.323823
tfidf,P@50,0.1
tfidf,R@50,0.357143
tfidf,F1@50,0.15625
tfidf,nDCG@50,0.358293
tfidf,AP,0.160161
tfidf,MRR,1.0
bbidf,n_retrieved,2176.0
bbidf,n_gold,14.0
bbidf,P@5,0.2
bbidf,R@5,0.071429
bbidf,F1@5,0.105263
bbidf,nDCG@5,0.33916
bbidf,P@10,0.2
bbidf,R@10,0.142857
bbidf,F1@10,0.166667
bbidf,nDCG@10,0.293456
bbidf,P@20,0.1
bbidf,R@20,0.142857
bbidf,F1@20,0.117647
bbidf,nDCG@20,0.237614
bbidf,P@50,0.08
bbidf,R@50,0.285714
bbidf,F1@50,0.125
bbidf,nDCG@50,0.311961
bbidf,AP,0.142373
bbidf,MRR,1.0
textrank,n_retrieved,2176.0
textrank,n_gold,14.0
textrank,P@5,0.4
textrank,R@5,0.142857
textrank,F1@5,0.210526
textrank,nDCG@5,0.470365
textrank,P@10,0.2
textrank,R@10,0.142857
textrank,F1@10,0.166667
textrank,nDCG@10,0.305235
textrank,P@20,0.1
textrank,R@20,0.142857
textrank,F1@20,0.117647
textrank,nDCG@20,0.247151
textrank,P@50,0.06
textrank,R@50,0.214286
textrank,F1@50,0.09375
textrank,nDCG@50,0.278727
textrank,AP,0.135819
textrank,MRR,1.0
