rank,term,score,score_raw,in_gold
1,recurso,0.486796,63.399228,true
2,turístico,0.484841,63.144503,true
3,chuquibamba,0.232645,30.299133,false
4,distrito,0.183046,23.839524,false
5,turismo,0.168983,22.00793,false
6,pueblo,0.141804,18.468186,false
7,potencial,0.122667,15.97588,true
8,actividad,0.114865,14.959776,false
9,tabla,0.105613,13.754777,false
10,actual,0.10065,13.108381,false
11,servicio,0.097273,12.668583,false
12,jerarquización,0.096814,12.608829,true
13,natural,0.094448,12.300682,false
14,investigación,0.083143,10.828397,false
15,tipo,0.080814,10.525078,false
16,lugar,0.080133,10.436313,false
17,imagen,0.080015,10.420907,false
18,cochabamba,0.079302,10.328044,false
19,poblador,0.073267,9.542108,false
20,agua,0.073186,9.531599,false
21,jerarquía,0.072662,9.463368,false
22,laguna,0.071918,9.366379,false
23,acceso,0.069276,9.022392,false
24,cultural,0.067739,8.822177,false
25,básico,0.067222,8.754861,false
26,punto,0.066888,8.711362,false
27,infraestructura,0.064546,8.406361,false
28,descripción,0.062191,8.09957,false
29,categoría,0.061702,8.035875,false
30,año,0.061059,7.952216,false
31,resultado,0.060263,7.848547,false
32,desarrollo,0.059896,7.800657,false
33,particularidades,0.058373,7.602375,false
34,turista,0.058234,7.584226,false
35,cultura,0.057778,7.524833,false
36,piedra,0.056457,7.352785,false
37,camino,0.056393,7.344539,false
38,nivel,0.056115,7.30829,false
39,inventario,0.055773,7.263786,true
40,ubicación,0.055553,7.235115,false
41,chachapoyas,0.054736,7.128748,false
42,evaluación,0.054238,7.063877,false
43,nacional,0.051902,6.759614,false
44,cercano,0.050574,6.586591,false
45,forma,0.049052,6.388427,false
46,valoración,0.04897,6.377801,false
47,población,0.04877,6.351728,false
48,msnm,0.048712,6.344168,false
49,caracterizar,0.048515,6.318477,false
50,provincia,0.047054,6.128167,false
