rank,term,score,score_raw,in_gold
1,turístico,0.338399,174.81516,false
2,turismo,0.291143,150.403058,true
3,espíritu,0.280381,144.843537,false
4,provincia,0.154848,79.993962,false
5,utcubamba,0.152611,78.838209,false
6,emprendedor,0.148952,76.948129,false
7,desarrollo,0.146835,75.854488,false
8,catálogo,0.140191,72.421768,false
9,científico,0.140191,72.421768,false
10,common,0.140191,72.421768,false
11,creative,0.140191,72.421768,false
12,indexada,0.140191,72.421768,false
13,julio,0.140191,72.421768,false
14,latindex,0.140191,72.421768,false
15,licencia,0.140191,72.421768,false
16,superior,0.140191,72.421768,false
17,tes,0.140191,72.421768,false
18,trimestral,0.140191,72.421768,false
19,compartir,0.133563,68.99784,false
20,international,0.126143,65.164627,false
21,vivencial,0.122667,63.369047,true
22,doi,0.118722,61.331414,false
23,issn,0.118722,61.331414,false
24,obra,0.118722,61.331414,false
25,santo,0.118722,61.331414,false
26,universitario,0.118722,61.331414,false
27,vol,0.118722,61.331414,false
28,artículo,0.106164,54.843972,false
29,comercial,0.106164,54.843972,false
30,instituto,0.106164,54.843972,false
31,recurso,0.103698,53.570127,false
32,revista,0.101636,52.504607,false
33,sostenible,0.090173,46.582719,true
34,actividad,0.067897,35.075436,false
35,zona,0.067629,34.937039,false
36,turista,0.06457,33.356631,false
37,cultural,0.061803,31.926979,false
38,ilustración,0.051941,26.832493,false
39,sustentable,0.051941,26.832493,false
40,natural,0.051373,26.5389,false
41,rural,0.049951,25.804504,true
42,investigación,0.049277,25.456345,false
43,fuente,0.047366,24.46919,false
44,producto,0.044956,23.224053,false
45,hurtado,0.044521,22.99928,false
46,jhesica,0.044521,22.99928,false
47,llanos,0.044521,22.99928,false
48,teoría,0.044521,22.99928,false
49,económico,0.04384,22.647638,false
50,potencial,0.042549,21.980463,false
