rank,term,score,score_raw,in_gold
1,levanto,0.472708,315.776111,true
2,turístico,0.362267,242.0,true
3,marketing,0.332032,221.802281,true
4,desacuerdo,0.296432,198.021026,false
5,totalmente,0.195981,130.918343,false
6,desarrollo,0.174208,116.373385,true
7,neutral,0.157508,105.217516,false
8,estrategia,0.141484,94.513704,false
9,estar,0.137009,91.523929,false
10,nivel,0.122752,82.0,false
11,destino,0.119609,79.900631,false
12,promoción,0.115479,77.141597,false
13,dimensión,0.113913,76.095839,false
14,distrito,0.107798,72.010441,true
15,turismo,0.100297,67.0,false
16,estrategias,0.09321,62.265712,true
17,precio,0.086029,57.468562,false
18,investigación,0.082333,55.0,false
19,local,0.081708,54.582207,false
20,valor,0.079386,53.031231,false
21,digital,0.07876,52.613154,false
22,variable,0.076344,50.998847,false
23,poblador,0.073053,48.800814,false
24,económico,0.06541,43.694933,false
25,encuestado,0.062112,41.491466,false
26,plaza,0.06166,41.189635,false
27,turista,0.058869,39.32544,false
28,amazonas,0.057041,38.10456,false
29,relación,0.0555,37.074707,false
30,visibilidad,0.05408,36.126305,false
31,social,0.053958,36.044854,false
32,viaje,0.053238,35.564114,true
33,producto,0.05316,35.511392,false
34,sostenible,0.052214,34.880057,false
35,agencia,0.05143,34.355764,false
36,ambiental,0.051261,34.243128,false
37,resultado,0.049333,32.955295,false
38,servicio,0.049058,32.7712,false
39,máx,0.046181,30.849734,false
40,nicho,0.04503,30.080612,false
41,limitado,0.043088,28.783502,false
42,mejorar,0.042903,28.659744,false
43,tabla,0.040525,27.07152,false
44,visitante,0.039907,26.658488,false
45,comunidad,0.039246,26.21696,false
46,población,0.038105,25.454991,false
47,específico,0.037971,25.36528,false
48,beneficio,0.037188,24.842209,false
49,actividad,0.037,24.716471,false
50,estudio,0.037,24.716471,true
