doc_id,file,n_tokens,n_gold,gold,tfidf_F1@5,tfidf_F1@10,tfidf_F1@20,tfidf_F1@50,tfidf_AP,tfidf_MRR,bbidf_F1@5,bbidf_F1@10,bbidf_F1@20,bbidf_F1@50,bbidf_AP,bbidf_MRR,textrank_F1@5,textrank_F1@10,textrank_F1@20,textrank_F1@50,textrank_AP,textrank_MRR,improvement_F1@10_pct
0,2011.pdf,5700,14,"categoría, chachapuya, civilizado, diluvio, etnia, identidad, incario, movilidad, mítico, oral, purum, simbolismir, tradición, transformación",0.10526315789473682,0.16666666666666666,0.23529411764705882,0.15625,0.16016092385633715,1.0,0.10526315789473682,0.16666666666666666,0.11764705882352941,0.125,0.14237299510061766,1.0,0.21052631578947364,0.16666666666666666,0.11764705882352941,0.09375,0.1358185432201369,1.0,0.0
1,Chachapoyas Resort. una experiencia espléndida.pdf,5756,5,"cultura, estrategia, experiencia, naturaleza, turismo",0.0,0.13333333333333333,0.08000000000000002,0.03636363636363636,0.035220621385388534,0.1,0.20000000000000004,0.13333333333333333,0.08000000000000002,0.03636363636363636,0.06604672620045882,0.25,0.20000000000000004,0.13333333333333333,0.08000000000000002,0.07272727272727272,0.23000169954360458,1.0,0.0
2,Cultura turisticay conservación de recurso turistico.pdf,5113,4,"conservación, cultura, recurso, turístico",0.6666666666666665,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.6083333333333333,0.5,0.6666666666666665,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.7708333333333333,1.0,0.888888888888889,0.5714285714285715,0.33333333333333337,0.14814814814814814,0.95,1.0,0.0
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,2463,7,"actividad, amazona, cultural, economía, regional, turismo, turístico",0.3333333333333333,0.3529411764705882,0.29629629629629634,0.14035087719298248,0.29948036842584297,1.0,0.3333333333333333,0.3529411764705882,0.29629629629629634,0.14035087719298248,0.3854029641864248,1.0,0.5,0.3529411764705882,0.29629629629629634,0.14035087719298248,0.4435421180068816,1.0,0.0
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,15782,5,"ecolodge, material, tradicional, turismo, vernácular",0.4000000000000001,0.26666666666666666,0.16000000000000003,0.14545454545454545,0.4399210487553395,1.0,0.4000000000000001,0.26666666666666666,0.16000000000000003,0.14545454545454545,0.3859540229885058,1.0,0.20000000000000004,0.13333333333333333,0.24,0.14545454545454545,0.16340862036514212,0.3333333333333333,0.0
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,2356,11,"arqueológico, calidad, complejo, gestión, kuelap, mercadeo, público, satisfacción, servicio, turismo, turista",0.625,0.761904761904762,0.5161290322580645,0.32786885245901637,0.7851559501573575,1.0,0.625,0.761904761904762,0.5161290322580645,0.29508196721311475,0.7377944794130805,1.0,0.625,0.761904761904762,0.5161290322580645,0.29508196721311475,0.7463949843260188,1.0,0.0
6,EVALUACIÓN DE LA CULTURA TURÍSTICA Y SU INFLUENC.pdf,4547,7,"actitud, comportamiento, conocimiento, cultura, sostenible, turismo, turístico",0.5,0.588235294117647,0.4444444444444444,0.24561403508771928,0.7156926406926407,1.0,0.5,0.588235294117647,0.5185185185185185,0.24561403508771928,0.6956916099773244,1.0,0.5,0.47058823529411764,0.5185185185185185,0.24561403508771928,0.610204081632653,1.0,0.0
7,Eevaluaci_on de los recursos turisticos.magdalena.pdf,2731,6,"arqueológico, chachapoyas, cultura, recurso, turístico, vivo",0.3636363636363636,0.25,0.3846153846153846,0.21428571428571425,0.2827924554469177,0.25,0.3636363636363636,0.37499999999999994,0.3846153846153846,0.21428571428571425,0.34318064182194613,0.5,0.3636363636363636,0.5,0.3846153846153846,0.21428571428571425,0.4001623376623376,0.5,50.0
8,Gestion_Municipal_y_Desarrollo_Turistico_de_la_ciu.pdf,1830,6,"diseño, municipal, organizacional, planificación, políticas, públicas",0.1818181818181818,0.37499999999999994,0.3846153846153846,0.21428571428571425,0.4181397306397307,1.0,0.3636363636363636,0.37499999999999994,0.30769230769230765,0.21428571428571425,0.3329059829059829,0.5,0.1818181818181818,0.25,0.30769230769230765,0.14285714285714285,0.1946407904308396,0.3333333333333333,0.0
9,Innovación MYPES en turismo.pdf,6737,5,"competitividad, innovación, myp, sector, turismo",0.4000000000000001,0.4,0.4,0.18181818181818182,0.5686979686979686,1.0,0.4000000000000001,0.5333333333333333,0.4,0.18181818181818182,0.49120879120879113,0.5,0.4000000000000001,0.6666666666666666,0.4,0.18181818181818182,0.45777777777777773,0.3333333333333333,33.33
