doc_id,doc,k,metric,algo,similarity
0,doc1,5,rbo,tfidf,0.715589
0,doc1,5,jaccard,tfidf,0.428571
0,doc1,5,overlap,tfidf,0.6
0,doc1,10,rbo,tfidf,0.631997
0,doc1,10,jaccard,tfidf,0.428571
0,doc1,10,overlap,tfidf,0.6
0,doc1,20,rbo,tfidf,0.590823
0,doc1,20,jaccard,tfidf,0.25
0,doc1,20,overlap,tfidf,0.4
0,doc1,50,rbo,tfidf,0.574077
0,doc1,50,jaccard,tfidf,0.449275
0,doc1,50,overlap,tfidf,0.62
0,doc1,5,rbo,bbidf,0.715589
0,doc1,5,jaccard,bbidf,0.428571
0,doc1,5,overlap,bbidf,0.6
0,doc1,10,rbo,bbidf,0.73618
0,doc1,10,jaccard,bbidf,0.538462
0,doc1,10,overlap,bbidf,0.7
0,doc1,20,rbo,bbidf,0.705994
0,doc1,20,jaccard,bbidf,0.428571
0,doc1,20,overlap,bbidf,0.6
0,doc1,50,rbo,bbidf,0.704631
0,doc1,50,jaccard,bbidf,0.666667
0,doc1,50,overlap,bbidf,0.8
1,doc2,5,rbo,tfidf,0.174523
1,doc2,5,jaccard,tfidf,0.25
1,doc2,5,overlap,tfidf,0.4
1,doc2,10,rbo,tfidf,0.299152
1,doc2,10,jaccard,tfidf,0.428571
1,doc2,10,overlap,tfidf,0.6
1,doc2,20,rbo,tfidf,0.396159
1,doc2,20,jaccard,tfidf,0.6
1,doc2,20,overlap,tfidf,0.75
1,doc2,50,rbo,tfidf,0.432199
1,doc2,50,jaccard,tfidf,0.449275
1,doc2,50,overlap,tfidf,0.62
1,doc2,5,rbo,bbidf,0.295575
1,doc2,5,jaccard,bbidf,0.428571
1,doc2,5,overlap,bbidf,0.6
1,doc2,10,rbo,bbidf,0.375262
1,doc2,10,jaccard,bbidf,0.428571
1,doc2,10,overlap,bbidf,0.6
1,doc2,20,rbo,bbidf,0.468187
1,doc2,20,jaccard,bbidf,0.73913
1,doc2,20,overlap,bbidf,0.85
1,doc2,50,rbo,bbidf,0.510063
1,doc2,50,jaccard,bbidf,0.639344
1,doc2,50,overlap,bbidf,0.78
2,doc3,5,rbo,tfidf,0.503438
2,doc3,5,jaccard,tfidf,0.666667
2,doc3,5,overlap,tfidf,0.8
2,doc3,10,rbo,tfidf,0.63692
2,doc3,10,jaccard,tfidf,0.666667
2,doc3,10,overlap,tfidf,0.8
2,doc3,20,rbo,tfidf,0.700575
2,doc3,20,jaccard,tfidf,0.818182
2,doc3,20,overlap,tfidf,0.9
2,doc3,50,rbo,tfidf,0.71578
2,doc3,50,jaccard,tfidf,0.666667
2,doc3,50,overlap,tfidf,0.8
2,doc3,5,rbo,bbidf,0.792137
2,doc3,5,jaccard,bbidf,0.666667
2,doc3,5,overlap,bbidf,0.8
2,doc3,10,rbo,bbidf,0.840907
2,doc3,10,jaccard,bbidf,0.818182
2,doc3,10,overlap,bbidf,0.9
2,doc3,20,rbo,bbidf,0.852086
2,doc3,20,jaccard,bbidf,0.666667
2,doc3,20,overlap,bbidf,0.8
2,doc3,50,rbo,bbidf,0.844347
2,doc3,50,jaccard,bbidf,0.724138
2,doc3,50,overlap,bbidf,0.84
3,doc4,5,rbo,tfidf,0.528605
3,doc4,5,jaccard,tfidf,0.25
3,doc4,5,overlap,tfidf,0.4
3,doc4,10,rbo,tfidf,0.572427
3,doc4,10,jaccard,tfidf,0.538462
3,doc4,10,overlap,tfidf,0.7
3,doc4,20,rbo,tfidf,0.615506
3,doc4,20,jaccard,tfidf,0.73913
3,doc4,20,overlap,tfidf,0.85
3,doc4,50,rbo,tfidf,0.630843
3,doc4,50,jaccard,tfidf,0.449275
3,doc4,50,overlap,tfidf,0.62
3,doc4,5,rbo,bbidf,0.780972
3,doc4,5,jaccard,bbidf,0.428571
3,doc4,5,overlap,bbidf,0.6
3,doc4,10,rbo,bbidf,0.729687
3,doc4,10,jaccard,bbidf,0.538462
3,doc4,10,overlap,bbidf,0.7
3,doc4,20,rbo,bbidf,0.731824
3,doc4,20,jaccard,bbidf,0.818182
3,doc4,20,overlap,bbidf,0.9
3,doc4,50,rbo,bbidf,0.743682
3,doc4,50,jaccard,bbidf,0.639344
