algorithm,metric,n,mean,median,std,min,max
tfidf,P@5,30,0.4933333333333333,0.4,0.250424926231717,0.0,1.0
tfidf,R@5,30,0.4026972101972102,0.41428571428571426,0.19682951484201694,0.0,0.8333333333333334
tfidf,F1@5,30,0.43179622521727784,0.4444444444444445,0.19861501026832848,0.0,0.9090909090909091
tfidf,nDCG@5,30,0.5318339521861398,0.5472730691140253,0.26553033912035534,0.0,1.0
tfidf,P@10,30,0.36333333333333334,0.3,0.16914252984479938,0.1,0.8
tfidf,R@10,30,0.5867652717652717,0.5714285714285714,0.24322683675993897,0.14285714285714285,1.0
tfidf,F1@10,30,0.4370925680213606,0.4285714285714285,0.17486847457935834,0.125,0.761904761904762
tfidf,nDCG@10,30,0.5656321316527279,0.5848987305733717,0.22801703457068992,0.09803928583135704,0.9930783166417602
tfidf,P@20,30,0.23333333333333336,0.225,0.09128709291752769,0.05,0.4
tfidf,R@20,30,0.7440668590668591,0.7916666666666667,0.25120194268918933,0.16666666666666666,1.0
tfidf,F1@20,30,0.34825969228695575,0.358974358974359,0.12173685234568996,0.07692307692307691,0.5517241379310346
tfidf,nDCG@20,30,0.6355312325848385,0.676361533361872,0.2254082537969758,0.09803928583135704,0.9930783166417602
tfidf,P@50,30,0.10800000000000003,0.11,0.036990213057901754,0.02,0.2
tfidf,R@50,30,0.8522703222703224,0.9545454545454546,0.20526791303896505,0.2,1.0
tfidf,F1@50,30,0.18962212189281788,0.1943573667711599,0.05967212860156643,0.03636363636363636,0.32786885245901637
tfidf,nDCG@50,30,0.6766849719225746,0.7283610814080119,0.20242569356989082,0.09803928583135704,0.9930783166417602
tfidf,MAP,30,0.48801811581902604,0.5182847281539673,0.22308695247774887,0.035220621385388534,0.9761904761904762
tfidf,MRR,30,0.7405555555555556,1.0,0.3351297379397961,0.1,1.0
bbidf,P@5,30,0.49999999999999994,0.4,0.23341542070028204,0.2,1.0
bbidf,R@5,30,0.4158982683982684,0.4,0.19901691873631522,0.07142857142857142,0.8333333333333334
bbidf,F1@5,30,0.44221950564055823,0.4365079365079365,0.19166186250945186,0.10526315789473682,0.9090909090909091
bbidf,nDCG@5,30,0.5388814626908537,0.5531464700081437,0.2563535608797251,0.14606834984270645,1.0
bbidf,P@10,30,0.3966666666666667,0.4,0.17904600320690717,0.1,0.8
bbidf,R@10,30,0.6388949013949016,0.6904761904761905,0.2496296144783371,0.14285714285714285,1.0
bbidf,F1@10,30,0.47702016479106263,0.47058823529411764,0.1843315164211515,0.125,0.761904761904762
bbidf,nDCG@10,30,0.5963430812162379,0.6035774229849632,0.224742017374347,0.14606834984270645,1.0
bbidf,P@20,30,0.23166666666666672,0.225,0.09602741466797955,0.05,0.4
bbidf,R@20,30,0.7440668590668591,0.7916666666666667,0.26483903354398974,0.14285714285714285,1.0
bbidf,F1@20,30,0.34680725946197394,0.358974358974359,0.1299695210344873,0.07692307692307691,0.5517241379310346
bbidf,nDCG@20,30,0.6405314935329204,0.6698923119713105,0.2274415844488495,0.14606834984270645,1.0
bbidf,P@50,30,0.10800000000000003,0.11,0.03623676928584917,0.02,0.18
bbidf,R@50,30,0.8572294372294372,1.0,0.207988542054616,0.2,1.0
bbidf,F1@50,30,0.18982962376623388,0.1943573667711599,0.05886195184607184,0.03636363636363636,0.3050847457627119
bbidf,nDCG@50,30,0.6836750913171451,0.7150912720501971,0.19574895255031366,0.14606834984270645,1.0
bbidf,MAP,30,0.4996864307820641,0.49143772893772886,0.22340251407393716,0.06604672620045882,1.0
bbidf,MRR,30,0.7472222222222221,1.0,0.30283093842426684,0.25,1.0
textrank,P@5,30,0.52,0.4,0.24968946230509387,0.2,1.0
textrank,R@5,30,0.4250649350649351,0.4,0.2189427127782038,0.14285714285714285,1.0
textrank,F1@5,30,0.4550445168866222,0.4365079365079365,0.20965745892543422,0.16666666666666666,0.9090909090909091
textrank,nDCG@5,30,0.5714529049905871,0.5558270281356814,0.26420437615159287,0.16958010263680806,1.0
textrank,P@10,30,0.3866666666666667,0.4,0.17366899418212192,0.1,0.8
textrank,R@10,30,0.630561568061568,0.6458333333333333,0.2700645925432065,0.14285714285714285,1.0
textrank,F1@10,30,0.467089087096827,0.47058823529411764,0.18595113950396847,0.11764705882352941,0.761904761904762
textrank,nDCG@10,30,0.6083108257392382,0.6150414895229244,0.22423422522730446,0.16958010263680806,1.0
textrank,P@20,30,0.23333333333333336,0.225,0.09033780792243017,0.05,0.4
textrank,R@20,30,0.7485906685906687,0.75,0.23486041381096173,0.14285714285714285,1.0
textrank,F1@20,30,0.34941219773357884,0.33333333333333337,0.12029695197707609,0.08000000000000002,0.5517241379310346
textrank,nDCG@20,30,0.6598910274750375,0.6796202086399485,0.20081638037496502,0.247151452329357,1.0
textrank,P@50,30,0.10533333333333335,0.1,0.035207104821116116,0.04,0.18
textrank,R@50,30,0.84003367003367,0.873015873015873,0.20076952205058982,0.21428571428571427,1.0
textrank,F1@50,30,0.18527706121579,0.18181818181818182,0.05709581692611854,0.07272727272727272,0.29508196721311475
textrank,nDCG@50,30,0.692926638065817,0.7243608862849257,0.1865555248314306,0.27872743375098225,1.0
textrank,MAP,30,0.5083979092946195,0.4841162429783777,0.22707500769226374,0.1358185432201369,1.0
textrank,MRR,30,0.8277777777777777,1.0,0.29437033694750037,0.25,1.0
