doc_id,file,n_tokens,n_gold
0,2011.pdf,5700,14
1,Chachapoyas Resort. una experiencia espléndida.pdf,5756,5
2,Cultura turisticay conservación de recurso turistico.pdf,5113,4
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,2463,7
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,15782,5
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,2356,11
6,EVALUACIÓN DE LA CULTURA TURÍSTICA Y SU INFLUENC.pdf,4547,7
7,Eevaluaci_on de los recursos turisticos.magdalena.pdf,2731,6
8,Gestion_Municipal_y_Desarrollo_Turistico_de_la_ciu.pdf,1830,6
9,Innovación MYPES en turismo.pdf,6737,5
11,Orosco Tuesta Lesly Fiorela.pdf,3385,4
13,"POTENCIAL TURISTÍCO DEL DISTRITO DE CHUQUIBAMBA, PROVINCIA CHACHAPOYAS, DEPARTAMENTO DE LA LIBERT.pdf",12865,6
15,Potencial turistico colcamar.pdf,3469,7
16,Public Management of Tourism in Tourist Satisfaction.pdf,2501,11
17,TURISMO Y LAS CONDICIONES SOCIOECONÓMICAS.pdf,6023,7
18,Turismo rural comunitario en kuelap.pdf,879,5
19,Turismo sostenioble.pdf,3051,6
20,VALORACIÓN ECONÓMICA DEL COMPLEJO ARQUEOLÓGICO DE KUELAP.pdf,5248,9
21,"análisis del turismo sostenible en la provincia de Utcubamba, Amazonas-Perú.pdf",2396,6
22,capacidad de carga turística.pdf,6033,4
23,estategias de marketin. desarrollo turistico.pdf,5933,10
24,festividades folkloricas y actividades turisticas.pdf,5801,6
25,guias de turismo en chachapoyas.pdf,5142,6
26,identidad cultural y artesania.pdf,5313,4
27,paisajes culturales.pdf,7064,7
28,percepción del impacto.pdf,2336,7
29,pilasres del turismo.pdf,9315,5
30,redes sociales y turismo.pdf,4142,4
31,turismo alternativo.folklore.pdf,10747,8
32,turismo comunitario.san bartolo.pdf,9171,4
