doc_id,algorithm,time_s
0,tfidf,0.000035
0,bbidf,0.0000197
0,textrank,0.1996358
1,tfidf,0.0000695
1,bbidf,0.0000293
1,textrank,0.1283587
2,tfidf,0.000087
2,bbidf,0.0000315
2,textrank,0.0848801
3,tfidf,0.0000797
3,bbidf,0.0000336
3,textrank,0.0686854
4,tfidf,0.0000841
4,bbidf,0.0000299
4,textrank,0.1819797
5,tfidf,0.0000876
5,bbidf,0.0000303
5,textrank,0.0381029
6,tfidf,0.0000761
6,bbidf,0.0000285
6,textrank,0.091433
7,tfidf,0.0000774
7,bbidf,0.0000314
7,textrank,0.0580221
8,tfidf,0.0001169
8,bbidf,0.0000403
8,textrank,0.0284028
9,tfidf,0.0000764
9,bbidf,0.0000295
9,textrank,0.1136192
11,tfidf,0.0000774
11,bbidf,0.0000287
11,textrank,0.0648153
13,tfidf,0.000076
13,bbidf,0.0000274
13,textrank,0.2756114
15,tfidf,0.0000684
15,bbidf,0.0000278
15,textrank,0.0643558
16,tfidf,0.0000769
16,bbidf,0.0000268
16,textrank,0.0394367
17,tfidf,0.0000954
17,bbidf,0.0000392
17,textrank,0.0695833
18,tfidf,0.0000799
18,bbidf,0.0000271
18,textrank,0.0095243
19,tfidf,0.0000552
19,bbidf,0.0000239
19,textrank,0.0559939
20,tfidf,0.0000867
20,bbidf,0.0000264
20,textrank,0.1000834
21,tfidf,0.0000837
21,bbidf,0.0000316
21,textrank,0.0498935
22,tfidf,0.0000681
22,bbidf,0.0000287
22,textrank,0.1193622
23,tfidf,0.0000925
23,bbidf,0.000031
23,textrank,0.0929459
24,tfidf,0.0001005
24,bbidf,0.0000398
24,textrank,0.0976676
25,tfidf,0.0000893
25,bbidf,0.0000405
25,textrank,0.0844345
26,tfidf,0.0000859
26,bbidf,0.00003
26,textrank,0.0912081
27,tfidf,0.0000883
27,bbidf,0.0000318
27,textrank,0.129327
28,tfidf,0.0000782
28,bbidf,0.0000286
28,textrank,0.0372823
29,tfidf,0.000083
29,bbidf,0.0000325
29,textrank,0.22457
30,tfidf,0.0000727
30,bbidf,0.0000288
30,textrank,0.0728742
31,tfidf,0.0000901
31,bbidf,0.000031
31,textrank,0.3265046
32,tfidf,0.0001008
32,bbidf,0.0000336
32,textrank,0.1476925
